To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
altera_reserved_tck,Input,,,,PIN_V5,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_W5,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_M5,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_P5,,,,,,,,,,,,,,
cts1,Input,PIN_B11,7A,B7A_N0,PIN_B11,3.3-V LVTTL,,,,,,,,,,,,,
driveLED,Output,PIN_D17,7A,B7A_N0,PIN_D17,3.3-V LVTTL,,,,,,,,,,,,,
hSync,Output,PIN_A15,7A,B7A_N0,PIN_A15,3.3-V LVTTL,,,,,,,,,,,,,
i_CLOCK_50,Input,PIN_M9,3B,B3B_N0,PIN_M9,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[48],Output,PIN_M22,5B,B5B_N0,PIN_M22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[47],Output,PIN_L22,5B,B5B_N0,PIN_L22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[46],Output,PIN_L18,5B,B5B_N0,PIN_L18,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[45],Output,PIN_L19,5B,B5B_N0,PIN_L19,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[44],Output,PIN_M18,5B,B5B_N0,PIN_M18,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[43],Output,PIN_N19,5B,B5B_N0,PIN_N19,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[42],Output,PIN_M21,5B,B5B_N0,PIN_M21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[41],Output,PIN_M20,5B,B5B_N0,PIN_M20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[40],Output,PIN_N20,5B,B5B_N0,PIN_N20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[39],Output,PIN_N21,5B,B5B_N0,PIN_N21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[38],Output,PIN_P16,5A,B5A_N0,PIN_P16,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[37],Output,PIN_P17,5A,B5A_N0,PIN_P17,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[36],Output,PIN_T20,5A,B5A_N0,PIN_T20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[35],Output,PIN_T19,5A,B5A_N0,PIN_T19,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[34],Output,PIN_P22,5A,B5A_N0,PIN_P22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[33],Output,PIN_R21,5A,B5A_N0,PIN_R21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[32],Output,PIN_R22,5A,B5A_N0,PIN_R22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[31],Output,PIN_T22,5A,B5A_N0,PIN_T22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[30],Output,PIN_U21,4A,B4A_N0,PIN_U21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[29],Output,PIN_U20,4A,B4A_N0,PIN_U20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[28],Output,PIN_V20,4A,B4A_N0,PIN_V20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[27],Output,PIN_W19,4A,B4A_N0,PIN_W19,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[26],Output,PIN_U22,4A,B4A_N0,PIN_U22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[25],Output,PIN_V21,4A,B4A_N0,PIN_V21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[24],Output,PIN_Y21,4A,B4A_N0,PIN_Y21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[23],Output,PIN_W21,4A,B4A_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[22],Output,PIN_W22,4A,B4A_N0,PIN_W22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[21],Output,PIN_Y22,4A,B4A_N0,PIN_Y22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[20],Output,PIN_AA22,4A,B4A_N0,PIN_AA22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[19],Output,PIN_AB22,4A,B4A_N0,PIN_AB22,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[18],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[17],Output,PIN_AB20,4A,B4A_N0,PIN_AB20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[16],Output,PIN_Y20,4A,B4A_N0,PIN_Y20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[15],Output,PIN_Y19,4A,B4A_N0,PIN_Y19,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[14],Output,PIN_AA20,4A,B4A_N0,PIN_AA20,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[13],Output,PIN_AA19,4A,B4A_N0,PIN_AA19,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[12],Output,PIN_AA18,4A,B4A_N0,PIN_AA18,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[11],Output,PIN_AA17,4A,B4A_N0,PIN_AA17,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[10],Output,PIN_Y17,4A,B4A_N0,PIN_Y17,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[9],Output,PIN_Y16,4A,B4A_N0,PIN_Y16,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[8],Output,PIN_AB18,4A,B4A_N0,PIN_AB18,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[7],Output,PIN_AB17,4A,B4A_N0,PIN_AB17,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[6],Output,PIN_Y15,4A,B4A_N0,PIN_Y15,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[5],Output,PIN_Y14,4A,B4A_N0,PIN_Y14,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[4],Output,PIN_AA15,4A,B4A_N0,PIN_AA15,3.3-V LVTTL,,,,,,,,,,,,,
IO_PIN[3],Output,PIN_AB15,4A,B4A_N0,PIN_AB15,3.3-V LVTTL,,,,,,,,,,,,,
n_reset,Input,PIN_V18,4A,B4A_N0,PIN_V18,3.3-V LVTTL,,,,,,,,,,,,,
n_sdRamCas,Output,PIN_AA7,3B,B3B_N0,PIN_AA7,3.3-V LVTTL,,,,,,,,,,,,,
n_sdRamCe,Output,PIN_AB5,3B,B3B_N0,PIN_AB5,3.3-V LVTTL,,,,,,,,,,,,,
n_sdRamRas,Output,PIN_AB6,3B,B3B_N0,PIN_AB6,3.3-V LVTTL,,,,,,,,,,,,,
n_sdRamWe,Output,PIN_W9,3A,B3A_N0,PIN_W9,3.3-V LVTTL,,,,,,,,,,,,,
n_sRamCS,Output,PIN_E2,2A,B2A_N0,PIN_E2,3.3-V LVTTL,,,,,,,,,,,,,
n_sRamOE,Output,PIN_L2,2A,B2A_N0,PIN_L2,3.3-V LVTTL,,,,,,,,,,,,,
n_sRamWE,Output,PIN_D6,8A,B8A_N0,PIN_D6,3.3-V LVTTL,,,,,,,,,,,,,
ps2Clk,Bidir,PIN_AA2,2A,B2A_N0,PIN_AA2,3.3-V LVTTL,,,,,,,,,,,,,
ps2Data,Bidir,PIN_AA1,2A,B2A_N0,PIN_AA1,3.3-V LVTTL,,,,,,,,,,,,,
rts1,Output,PIN_F10,8A,B8A_N0,PIN_F10,3.3-V LVTTL,,,,,,,,,,,,,
rxd1,Input,PIN_C11,7A,B7A_N0,PIN_C11,3.3-V LVTTL,,,,,,,,,,,,,
sdCS,Output,PIN_B15,7A,B7A_N0,PIN_B15,3.3-V LVTTL,,,,,,,,,,,,,
sdMISO,Input,PIN_B16,7A,B7A_N0,PIN_B16,3.3-V LVTTL,,,,,,,,,,,,,
sdMOSI,Output,PIN_C15,7A,B7A_N0,PIN_C15,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[14],Output,PIN_P9,3B,B3B_N0,PIN_P9,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[13],Output,PIN_T7,3A,B3A_N0,PIN_T7,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[12],Output,PIN_Y9,3B,B3B_N0,PIN_Y9,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[11],Output,PIN_T9,3B,B3B_N0,PIN_T9,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[10],Output,PIN_R6,3A,B3A_N0,PIN_R6,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[9],Output,PIN_W8,3A,B3A_N0,PIN_W8,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[8],Output,PIN_T8,3A,B3A_N0,PIN_T8,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[7],Output,PIN_U8,3A,B3A_N0,PIN_U8,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[6],Output,PIN_V6,3A,B3A_N0,PIN_V6,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[5],Output,PIN_U7,3A,B3A_N0,PIN_U7,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[4],Output,PIN_U6,3A,B3A_N0,PIN_U6,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[3],Output,PIN_N6,3A,B3A_N0,PIN_N6,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[2],Output,PIN_N8,3B,B3B_N0,PIN_N8,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[1],Output,PIN_P7,3A,B3A_N0,PIN_P7,3.3-V LVTTL,,,,,,,,,,,,,
sdRamAddr[0],Output,PIN_P8,3B,B3B_N0,PIN_P8,3.3-V LVTTL,,,,,,,,,,,,,
sdRamClk,Output,PIN_AB11,3B,B3B_N0,PIN_AB11,3.3-V LVTTL,,,,,,,,,,,,,
sdRamClkEn,Output,PIN_V9,3B,B3B_N0,PIN_V9,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[15],Input,PIN_P12,3B,B3B_N0,PIN_P12,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[14],Input,PIN_R12,3B,B3B_N0,PIN_R12,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[13],Input,PIN_U12,3B,B3B_N0,PIN_U12,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[12],Input,PIN_R11,3B,B3B_N0,PIN_R11,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[11],Input,PIN_R10,3B,B3B_N0,PIN_R10,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[10],Input,PIN_U11,3B,B3B_N0,PIN_U11,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[9],Input,PIN_T10,3B,B3B_N0,PIN_T10,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[8],Input,PIN_U10,3B,B3B_N0,PIN_U10,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[7],Input,PIN_AA8,3B,B3B_N0,PIN_AA8,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[6],Input,PIN_AB8,3B,B3B_N0,PIN_AB8,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[5],Input,PIN_AA9,3B,B3B_N0,PIN_AA9,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[4],Input,PIN_Y10,3B,B3B_N0,PIN_Y10,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[3],Input,PIN_AB10,3B,B3B_N0,PIN_AB10,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[2],Input,PIN_AA10,3B,B3B_N0,PIN_AA10,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[1],Input,PIN_Y11,3B,B3B_N0,PIN_Y11,3.3-V LVTTL,,,,,,,,,,,,,
sdRamData[0],Input,PIN_AA12,3B,B3B_N0,PIN_AA12,3.3-V LVTTL,,,,,,,,,,,,,
sdSCLK,Output,PIN_C16,7A,B7A_N0,PIN_C16,3.3-V LVTTL,,,,,,,,,,,,,
serSelect,Input,PIN_L17,5B,B5B_N0,PIN_L17,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[19],Output,PIN_E9,8A,B8A_N0,PIN_E9,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[18],Output,PIN_B5,8A,B8A_N0,PIN_B5,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[17],Output,PIN_B6,8A,B8A_N0,PIN_B6,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[16],Output,PIN_A7,8A,B8A_N0,PIN_A7,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[15],Output,PIN_A10,8A,B8A_N0,PIN_A10,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[14],Output,PIN_A9,8A,B8A_N0,PIN_A9,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[13],Output,PIN_B7,8A,B8A_N0,PIN_B7,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[12],Output,PIN_A5,8A,B8A_N0,PIN_A5,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[11],Output,PIN_D9,8A,B8A_N0,PIN_D9,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[10],Output,PIN_C6,8A,B8A_N0,PIN_C6,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[9],Output,PIN_E7,8A,B8A_N0,PIN_E7,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[8],Output,PIN_G2,2A,B2A_N0,PIN_G2,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[7],Output,PIN_N2,2A,B2A_N0,PIN_N2,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[6],Output,PIN_U2,2A,B2A_N0,PIN_U2,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[5],Output,PIN_W2,2A,B2A_N0,PIN_W2,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[4],Output,PIN_Y3,2A,B2A_N0,PIN_Y3,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[3],Output,PIN_U1,2A,B2A_N0,PIN_U1,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[2],Output,PIN_N1,2A,B2A_N0,PIN_N1,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[1],Output,PIN_L1,2A,B2A_N0,PIN_L1,3.3-V LVTTL,,,,,,,,,,,,,
sramAddress[0],Output,PIN_G1,2A,B2A_N0,PIN_G1,3.3-V LVTTL,,,,,,,,,,,,,
sramData[7],Bidir,PIN_D3,2A,B2A_N0,PIN_D3,3.3-V LVTTL,,,,,,,,,,,,,
sramData[6],Bidir,PIN_C2,2A,B2A_N0,PIN_C2,3.3-V LVTTL,,,,,,,,,,,,,
sramData[5],Bidir,PIN_H6,8A,B8A_N0,PIN_H6,3.3-V LVTTL,,,,,,,,,,,,,
sramData[4],Bidir,PIN_H8,8A,B8A_N0,PIN_H8,3.3-V LVTTL,,,,,,,,,,,,,
sramData[3],Bidir,PIN_F7,8A,B8A_N0,PIN_F7,3.3-V LVTTL,,,,,,,,,,,,,
sramData[2],Bidir,PIN_G8,8A,B8A_N0,PIN_G8,3.3-V LVTTL,,,,,,,,,,,,,
sramData[1],Bidir,PIN_G6,8A,B8A_N0,PIN_G6,3.3-V LVTTL,,,,,,,,,,,,,
sramData[0],Bidir,PIN_C1,2A,B2A_N0,PIN_C1,3.3-V LVTTL,,,,,,,,,,,,,
txd1,Output,PIN_G10,8A,B8A_N0,PIN_G10,3.3-V LVTTL,,,,,,,,,,,,,
videoB0,Output,PIN_B13,7A,B7A_N0,PIN_B13,3.3-V LVTTL,,,,,,,,,,,,,
videoB1,Output,PIN_A13,7A,B7A_N0,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,,
videoG0,Output,PIN_D13,7A,B7A_N0,PIN_D13,3.3-V LVTTL,,,,,,,,,,,,,
videoG1,Output,PIN_C13,7A,B7A_N0,PIN_C13,3.3-V LVTTL,,,,,,,,,,,,,
videoR0,Output,PIN_E12,7A,B7A_N0,PIN_E12,3.3-V LVTTL,,,,,,,,,,,,,
videoR1,Output,PIN_D12,7A,B7A_N0,PIN_D12,3.3-V LVTTL,,,,,,,,,,,,,
vSync,Output,PIN_A14,7A,B7A_N0,PIN_A14,3.3-V LVTTL,,,,,,,,,,,,,
