Directory For Drive C:  User  0

    Name     Bytes   Recs   Attributes      Name     Bytes   Recs   Attributes
------------ ------ ------ ------------ ------------ ------ ------ ------------
  Volume 010     0k      0 Dir RO       P20      COM     8k     47 Dir RW
PACK10B  COM     8k     36 Dir RW       PACKLIST COM    16k    111 Dir RW
PAGE21   COM     4k     32 Dir RW       PATH32   4OM     4k     15 Dir RW
PATH32   COM     4k     12 Dir RW       PAUSE12  3OM     4k     12 Dir RW
PAUSE12  4OM     4k     16 Dir RW       PAUSE12  COM     4k     12 Dir RW
PDMSHELL OVL     4k     12 Dir RW       PDMSTK10 COM     8k     33 Dir RW
PERFORM1 COM     4k     23 Dir RW       PIPE18   COM     4k      8 Dir RW
PMOVE12  COM     4k     13 Dir RW       PNTR     COM     4k     10 Dir RW
POKE12   3OM     4k      9 Dir RW       POKE12   4OM     4k     12 Dir RW
PP19Z3D  COM     8k     36 Dir RW       PPIP19   COM     8k     37 Dir RW
PRETTY31 CFG     4k     11 Dir RW       PRETTY31 COM     8k     38 Dir RW
PRINT    CFG     4k      6 Dir RW       PRINT23  COM     8k     48 Dir RW
PRN24-Z3 COM     4k      8 Dir RW       PRNTXT16 BOT     4k      1 Dir RW
PRNTXT16 CFG     4k     21 Dir RW       PRNTXT16 COM     4k      6 Dir RW
PRNTXT16 TOP     4k      6 Dir RW       PROTEC30 COM     4k     28 Dir RW
PRTASM21 CFG     8k     47 Dir RW       PRTASM21 COM     8k     37 Dir RW
PRTDFL10 COM     4k      7 Dir RW       PRTRLE20 CFG     4k      6 Dir RW
PRTRLE20 COM     4k     26 Dir RW       PRTSET10 COM     4k     18 Dir RW
PUSH12   COM     4k     13 Dir RW       PUSHDIR  4OM     4k     11 Dir RW
PUSHDIR  COM     4k      8 Dir RW       PWD      CFG     4k     23 Dir RW
PWD21    3OM     4k     25 Dir RW       PWD21    4OM     4k     30 Dir RW
PWD21    COM     4k     25 Dir RW       QLUX     COM    20k    145 Dir RW
QLUXKMD  COM    20k    140 Dir RW       QLUXZMD  COM    20k    140 Dir RW
QLZ40    COM     8k     63 Dir RW       QUIET13  3OM     4k      8 Dir RW
QUIET13  4OM     4k     12 Dir RW       QUIET13  CFG     4k      3 Dir RW
QUIET13  COM     4k      8 Dir RW       RCOPY21  CFG     4k     16 Dir RW
RCOPY21  COM     4k     29 Dir RW       RCP-COM  COM     4k     28 Dir RW
RCPX     3OM     4k      4 Dir RW       RECORD31 4OM     4k     23 Dir RW
RECORD31 COM     4k     19 Dir RW       REG13    3OM     4k     12 Dir RW
REG13    4OM     4k     15 Dir RW       REG13    COM     4k     12 Dir RW
REMIND15 CFG     4k     27 Dir RW       REMIND15 COM     8k     39 Dir RW
REN      COM     4k     28 Dir RW       RENAME37 3OM     4k     31 Dir RW
RENAME37 CFG     4k     11 Dir RW       RENAME37 COM     4k     31 Dir RW
RENAME3A COM     4k     27 Dir RW       RENAMZ19 CFG     8k     46 Dir RW
RENAMZ19 COM     8k     33 Dir RW       RESOLV14 COM     4k     20 Dir RW
RESOLVEQ COM     4k     24 Dir RW       REVFN11  3OM     4k     19 Dir RW
REVFN11  CFG     4k      5 Dir RW       REVFN11  COM     4k     19 Dir RW
RLIB12   COM     4k     27 Dir RW       RLX16    COM     4k     26 Dir RW
ROMAN10  3OM     4k     12 Dir RW       ROMAN10  4OM     4k     16 Dir RW
ROMAN10  COM     4k     12 Dir RW       SAINST15 COM     8k     38 Dir RW
SAK22B   COM     4k     14 Dir RW       SALS15C  COM     8k     62 Dir RW
SAMPKEY  ZDK     4k      4 Dir RW       SAPZ12   CFG     4k      6 Dir RW
SAPZ12   COM     4k     16 Dir RW       SAVE16   3OM     4k     12 Dir RW
SAVE16   4OM     4k     16 Dir RW       SAVNDR14 3OM     4k     12 Dir RW
SAVNDR14 4OM     4k     16 Dir RW       SAVNDR14 COM     4k     12 Dir RW
SAVSTAMP COM     4k     10 Dir RW       SAVSTMP4 COM     4k     16 Dir RW
SAVZVMEM COM    12k     81 Dir RW       SCAN25   CFG     4k     13 Dir RW
SCAN25   COM     8k     48 Dir RW       SCAN25BG COM     8k     48 Dir RW
SCOPY09  CFG     4k     27 Dir RW       SCOPY09  COM    16k    126 Dir RW
SDD301   COM     8k     50 Dir RW       SDZ34    COM     8k     49 Dir RW
SEGLINK  COM     4k      8 Dir RW       SETDZ302 COM     4k     18 Dir RW
SETDZ3DS COM     4k     18 Dir RW       SETFIL11 3OM     4k      4 Dir RW
SETFIL11 COM     4k      4 Dir RW       SETFILEQ COM     4k      4 Dir RW
SETNULL  COM     4k      6 Dir RW       SETPTH11 4OM     4k     32 Dir RW
SETPTH11 COM     4k     27 Dir RW       SH20     COM     4k     32 Dir RW
SHCTRL11 COM     4k      9 Dir RW       SHDEFI10 COM     4k     23 Dir RW
SHELLINI COM     4k      1 Dir RW       SHFILE11 COM     4k      5 Dir RW
SHOW14   COM    12k     86 Dir RW       SHSET22  COM     4k     10 Dir RW
SHVAR13  COM     4k     21 Dir RW       SILENT   COM     4k      8 Dir RW
SKUNK152 COM    20k    157 Dir RW       SLOWDOWN COM     4k      5 Dir RW
SNAP12   3OM     4k      8 Dir RW       SNAP12   CFG     4k      8 Dir RW
SNAP12   COM     4k      8 Dir RW       SNAPRCP  3OM     4k      4 Dir RW
SNAPRCP  COM     4k      4 Dir RW       SPEDUP12 COM     4k     19 Dir RW
SPP10    COM     8k     33 Dir RW       SREN10B  COM     8k     60 Dir RW
