# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: C:\Users\HPz420\Documents\GitHub\Doug Gilliland\MultiComp\MultiComp_On_RETRO-EP4CE15\UK101_41K\uk101_41kRAM.csv
# Generated on: Sun Jul 18 07:30:38 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation,Weak Pull-Up Resistor
clk,Input,PIN_T2,2,B2_N0,PIN_T2,3.3-V LVTTL,,,,,,
driveLED,Output,PIN_E4,1,B1_N0,PIN_E4,3.3-V LVTTL,,,,,,
fpgaCts,Input,PIN_A13,7,B7_N1,PIN_A13,3.3-V LVTTL,,,,,,
fpgaRts,Output,PIN_A10,8,B8_N0,PIN_A10,3.3-V LVTTL,,,,,,
fpgaRx,Input,PIN_B13,7,B7_N1,PIN_B13,3.3-V LVTTL,,,,,,on
fpgaTx,Output,PIN_B10,8,B8_N0,PIN_B10,3.3-V LVTTL,,,,,,
n_reset,Input,PIN_W13,4,B4_N1,PIN_W13,3.3-V LVTTL,,,,,,on
n_sdRamCas,Output,PIN_AA4,3,B3_N1,PIN_AA4,3.3-V LVTTL,,,,,,
n_sdRamCe,Output,PIN_AA3,3,B3_N1,PIN_AA3,3.3-V LVTTL,,,,,,
n_sdRamRas,Output,PIN_AB3,3,B3_N1,PIN_AB3,3.3-V LVTTL,,,,,,
n_sdRamWe,Output,PIN_AB4,3,B3_N1,PIN_AB4,3.3-V LVTTL,,,,,,
n_sRamCS,Output,PIN_F1,1,B1_N0,PIN_F1,3.3-V LVTTL,,,,,,
n_sRamOE,Output,PIN_J2,1,B1_N1,PIN_J2,3.3-V LVTTL,,,,,,
n_sRamWE,Output,PIN_B4,8,B8_N1,PIN_B4,3.3-V LVTTL,,,,,,
ps2Clk,Input,PIN_R1,2,B2_N0,PIN_R1,3.3-V LVTTL,,,,,,on
ps2Data,Input,PIN_R2,2,B2_N0,PIN_R2,3.3-V LVTTL,,,,,,on
